request_d_clean,is_unit,unitAvailableDate_pst,FloorplanId,planAvailableUnits,planBathrooms,planBedrooms,planName,planSquareFeet,unitAvailableDate,unitBuildingNumber,unitDeposit,unitFloor,unitHasConcession,unitId,unitIsFeatured,unitMaxPrice,unitMinPrice,unitNumber,request_d,planImage,plan_row
2020-08-20,1,2020-08-27T22:00:00,1873535,12.0,1.0,0.0,Montgomery A,460.0,1598590800000,3,600.0,2.0,0.0,201,0.0,2165.0,1925.0,208,2020-08-20,false,1
2020-08-19,1,2020-08-27T22:00:00,1873535,12.0,1.0,0.0,Montgomery A,460.0,1598590800000,3,600.0,2.0,0.0,201,0.0,2165.0,1925.0,208,2020-08-19,false,2
2020-08-18,1,2020-08-27T22:00:00,1873535,12.0,1.0,0.0,Montgomery A,460.0,1598590800000,3,600.0,2.0,0.0,201,0.0,2165.0,1925.0,208,2020-08-18,false,3
2020-08-17,1,2020-08-27T22:00:00,1873535,12.0,1.0,0.0,Montgomery A,460.0,1598590800000,3,600.0,2.0,0.0,201,0.0,2195.0,1950.0,208,2020-08-17,false,4
2020-08-16,1,2020-08-27T22:00:00,1873535,13.0,1.0,0.0,Montgomery A,460.0,1598590800000,3,600.0,2.0,0.0,201,0.0,2195.0,1950.0,208,2020-08-16,false,5
2020-08-15,1,2020-08-27T22:00:00,1873535,13.0,1.0,0.0,Montgomery A,460.0,1598590800000,3,600.0,2.0,0.0,201,0.0,2195.0,1950.0,208,2020-08-15,false,6
2020-08-14,1,2020-08-27T22:00:00,1873535,14.0,1.0,0.0,Montgomery A,460.0,1598590800000,3,600.0,2.0,0.0,201,0.0,2195.0,1950.0,208,2020-08-14,false,7
2020-08-13,1,2020-08-27T22:00:00,1873535,14.0,1.0,0.0,Montgomery A,460.0,1598590800000,3,600.0,2.0,0.0,201,0.0,2195.0,1950.0,208,2020-08-13,false,8
2020-08-12,1,2020-08-27T22:00:00,1873535,15.0,1.0,0.0,Montgomery A,460.0,1598590800000,3,600.0,2.0,0.0,201,0.0,2195.0,1950.0,208,2020-08-12,false,9
2020-08-11,1,2020-08-27T22:00:00,1873535,15.0,1.0,0.0,Montgomery A,460.0,1598590800000,3,600.0,2.0,0.0,201,0.0,2195.0,1950.0,208,2020-08-11,false,10
2020-08-10,1,2020-08-27T22:00:00,1873535,12.0,1.0,0.0,Montgomery A,460.0,1598590800000,3,600.0,2.0,0.0,201,0.0,2200.0,1955.0,208,2020-08-10,false,11
2020-08-09,1,2020-08-27T22:00:00,1873535,13.0,1.0,0.0,Montgomery A,460.0,1598590800000,3,600.0,2.0,0.0,201,0.0,2205.0,1960.0,208,2020-08-09,false,12
2020-08-20,1,2020-09-15T22:00:00,1873535,12.0,1.0,0.0,Montgomery A,460.0,1600232400000,1,600.0,3.0,0.0,81,0.0,2215.0,1915.0,322,2020-08-20,false,1
2020-08-19,1,2020-09-15T22:00:00,1873535,12.0,1.0,0.0,Montgomery A,460.0,1600232400000,1,600.0,3.0,0.0,81,0.0,2215.0,1915.0,322,2020-08-19,false,2
2020-08-18,1,2020-09-15T22:00:00,1873535,12.0,1.0,0.0,Montgomery A,460.0,1600232400000,1,600.0,3.0,0.0,81,0.0,2215.0,1915.0,322,2020-08-18,false,3
2020-08-17,1,2020-09-15T22:00:00,1873535,12.0,1.0,0.0,Montgomery A,460.0,1600232400000,1,600.0,3.0,0.0,81,0.0,2250.0,1940.0,322,2020-08-17,false,4
2020-08-16,1,2020-09-15T22:00:00,1873535,13.0,1.0,0.0,Montgomery A,460.0,1600232400000,1,600.0,3.0,0.0,81,0.0,2250.0,1940.0,322,2020-08-16,false,5
2020-08-15,1,2020-09-15T22:00:00,1873535,13.0,1.0,0.0,Montgomery A,460.0,1600232400000,1,600.0,3.0,0.0,81,0.0,2250.0,1940.0,322,2020-08-15,false,6
2020-08-14,1,2020-09-15T22:00:00,1873535,14.0,1.0,0.0,Montgomery A,460.0,1600232400000,1,600.0,3.0,0.0,81,0.0,2250.0,1940.0,322,2020-08-14,false,7
